"Entry Name,Entry Type,Photo1"
"Рождество Богородицы 12 3/8 х 15,Item,https://lnk.sortly.co/v2/downloads/photo/v2_7Uc8IZDAhxlfGuqDraOQA8rWe20pSv0MCZFmqxiNr4k4tLbCMIUvjw=="
"СВ. Григорий 8 1/8 х 11 1/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_U_Q1q-10Yys97geSJKbE1I4EjkbL75smheKI2PL_G91T-iDkFLXdTw=="
"Св Владимир 11 3/4 х 13 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_wDdZcn6AtKBldy6M-oTSyPDJmXt_-VvzFzxE_Hf5ZSPWA9IWO962uA=="
"Св Евгения 9 3/4 х 17,Item,https://lnk.sortly.co/v2/downloads/photo/v2_RuGU9ZwnyS50JwI5OtJrhCUCLaw4mYKQQxb72jJmO3S2JXCpA4-gQA=="
"Св Сава 6 1/4 х 7 3/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_C5VVq9BiLjZXC5oH5RlvjOcQslX_M3ZpkO0hqj7ORH2Ajd-8S1wBig=="
"Св Серафим Саровский 6 7/8 х 8 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_Y1OlXJVEKY2hBT3DfTBxaVeq6D5C-NNRsDNR8dE2m5g4T3Noc5oMNA=="
"Св. Адексий 19 3/4 х 23 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_0K9aIXAs7ItVJMaqqH9sfALvu_eixiz61NtH0TBafAFSnOSLSbVVOA=="
"Св. Александр Невский 10 5/8 х 12,Item,https://lnk.sortly.co/v2/downloads/photo/v2_DBzk98tYblWQh33rjuP9K9T2FGPJkyNkp-QV0lJsxCmuYfkASTVW2A=="
"Св. Алексий Московский 19 3/4 х 23 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_ClYnvftWWz9BKBWwEwqFQd_1v2NqMxsKKilgQK-f0beCVFjE8lmhFg=="
"Св. Антоний и Феодосий я12 1/2 х 15 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_5G5QRHQKf2dQ4VOaR84nZBKQnAnKHoiUABOIHMyo6YSZtl-C05ybuw=="
"Св. Апостолы Пётр и Павел 10 1/4 х 11 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_liNb1HiUIOqSEa40uN-SoslIpO3wc00kYt_obrdhML1TCf0Wa0Q34w=="
"Св. Борис и Глеб 15 3/4 х 19 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_INjoXsAllfkYRvJG-y5ogSBnr1AAVm3SlLV9nz1KJrxvpxdUYDYCMg=="
"Св. Варвара 9 х 10 7/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_zGdG8pX15dtRL_8TpXbdK1SfEFO3rvdfXoQCFBzwXPzhACX-vGHsMw=="
"Св. Василий 11 3/8 х 15,Item,https://lnk.sortly.co/v2/downloads/photo/v2_G74b-b7VmKha4hJuqUJ2aJDnlHrICCBJfRyJ7PURKYAEGSH3Age9iw=="
"Св. Василий и Евдокия 10 1/4 х 12 3/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_MCkAWqAv5HL1baFdRewO58lO-MM5YRMr8lxcwe6E3wrO4HbWTTf4hQ=="
"Св. Вера 14 5/8 х 19 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_AV0dE6U9lIckYVzcAx2JUNLlqMkaaVcq9y5Ia1tWrF4mvVWOU67Siw=="
"Св. Герман Аляскинский 10 7/8 х 15,Item,https://lnk.sortly.co/v2/downloads/photo/v2_23fgVMJ1wamjDzS3feXVFkcqpkYwlrAbFJeYvfY3kp2-mDBhJ8eCZQ=="
"Св. Евпраксия 13 х 16,Item,https://lnk.sortly.co/v2/downloads/photo/v2_TXrW8488LPVfCNYtyzVc8Ea380iZCnK9Cuvgey1UeK7oE2rUq61-zA=="
"Св. Жёны Мироносецы 15 3/4 х 18 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_Rr7pJMjFmJ1X1jL-QBEi-GmIuM-RnTByvR3Y1qgXkl-mvYxKYYK79w=="
"Св. Игнатии Мариупольский 12 5/8 х 15 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_yzpovZtBpszahnHolYBQgihvjlhUFktE0HChR6qT6iUkZSQzWJXqIQ=="
"Св. Инокентий 4 3/8 х 5 1/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_w9xVyAqquxNz-TInxcunGq_HNB9LMB8w08nXUnHgC9vmZkPgVpp0Cg=="
"Св. Иоан Shanghai 15 1/2 19 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_2sDclzFPG4YXBgKrbhPews8TjC4zINYXGLs8-WxtfFtZo6N3XZ7nSQ=="
"Св. Иоан Кронштадтский - 16 5/8 х 13 7/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_VGckjeuvTfGxDKOhrvTDsi5RcGjlUbR-nsK8gd1B2fd2tdNpdfcWEA=="
"Св. Иоанн Рыльский 8 1/8 х 10 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_5vx8sqx7-KfD7p8QrLAodvmQVJXbmRO79nAW4266DzRHNDVGhq47Xg=="
"Св. Ирина 9 1/2 х 11 5/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_A_sxAfv7dmsaKqkryDSM3NpFFi52bOboAEYs0Yz_H50VRJUW8jkqiA=="
"Св. Ксения Петербургская 17 1/2 х 21 1/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_i8kVOk5r9GQmAUHJC8U3Doh_b8LX683DU1x7X_vEu0shQ-O4pQCVZQ=="
"Св. Лука Крымский с мощами 11 3/4 х 13 7/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_3WqG6AysmSvMiLA6HY-mUM-ZtBBYXp0WvSnHUWtP1ekCVIaIEZ7ftA=="
"Св. Николаи 4 х 4 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_fo_IQExorG1wcaWmKBEIe0bwzl2uuIswBmTTtBoSPYnihoHPI7wYRw=="
"Св. Николай 17 3/4 х 21 5/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_fqGn7jshknP5ue4Dqg50J3FRfJHIqjuEcn4_H-UqaOYuCEzL03yK4A=="
"Св. Николай 22 3/4 х 25 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2__lbxzzyWeC3KtJaXWOZepeaTNtUEAzMhD25z8Fx0lU3GCCeLjNeU3w=="
